"row","col","label"
"34","21","ROI1"
"35","21","ROI1"
"36","21","ROI1"
"37","21","ROI1"
"38","21","ROI1"
"39","21","ROI1"
"40","21","ROI1"
"41","21","ROI1"
"42","21","ROI1"
"43","21","ROI1"
"44","21","ROI1"
"45","21","ROI1"
"46","21","ROI1"
"47","21","ROI1"
"48","21","ROI1"
"50","21","ROI1"
"51","21","ROI1"
"52","21","ROI1"
"53","21","ROI1"
"54","21","ROI1"
"55","21","ROI1"
"56","21","ROI1"
"57","21","ROI1"
"58","21","ROI1"
"18","22","ROI1"
"19","22","ROI1"
"20","22","ROI1"
"22","22","ROI1"
"23","22","ROI1"
"24","22","ROI1"
"25","22","ROI1"
"26","22","ROI1"
"27","22","ROI1"
"28","22","ROI1"
"29","22","ROI1"
"30","22","ROI1"
"31","22","ROI1"
"32","22","ROI1"
"33","22","ROI1"
"34","22","ROI1"
"35","22","ROI1"
"36","22","ROI1"
"37","22","ROI1"
"38","22","ROI1"
"39","22","ROI1"
"40","22","ROI1"
"41","22","ROI1"
"42","22","ROI1"
"43","22","ROI1"
"44","22","ROI1"
"45","22","ROI1"
"46","22","ROI1"
"47","22","ROI1"
"48","22","ROI1"
"49","22","ROI1"
"50","22","ROI1"
"51","22","ROI1"
"52","22","ROI1"
"53","22","ROI1"
"54","22","ROI1"
"55","22","ROI1"
"56","22","ROI1"
"57","22","ROI1"
"58","22","ROI1"
"17","23","ROI1"
"18","23","ROI1"
"19","23","ROI1"
"20","23","ROI1"
"21","23","ROI1"
"22","23","ROI1"
"23","23","ROI1"
"24","23","ROI1"
"25","23","ROI1"
"26","23","ROI1"
"27","23","ROI1"
"28","23","ROI1"
"29","23","ROI1"
"30","23","ROI1"
"31","23","ROI1"
"32","23","ROI1"
"33","23","ROI1"
"34","23","ROI1"
"35","23","ROI1"
"36","23","ROI1"
"37","23","ROI1"
"38","23","ROI1"
"39","23","ROI1"
"40","23","ROI1"
"41","23","ROI1"
"42","23","ROI1"
"43","23","ROI1"
"44","23","ROI1"
"45","23","ROI1"
"46","23","ROI1"
"47","23","ROI1"
"48","23","ROI1"
"49","23","ROI1"
"50","23","ROI1"
"51","23","ROI1"
"52","23","ROI1"
"53","23","ROI1"
"54","23","ROI1"
"55","23","ROI1"
"56","23","ROI1"
"57","23","ROI1"
"58","23","ROI1"
"17","24","ROI1"
"18","24","ROI1"
"19","24","ROI1"
"20","24","ROI1"
"21","24","ROI1"
"22","24","ROI1"
"23","24","ROI1"
"24","24","ROI1"
"25","24","ROI1"
"26","24","ROI1"
"27","24","ROI1"
"28","24","ROI1"
"29","24","ROI1"
"30","24","ROI1"
"31","24","ROI1"
"32","24","ROI1"
"33","24","ROI1"
"34","24","ROI1"
"35","24","ROI1"
"36","24","ROI1"
"37","24","ROI1"
"38","24","ROI1"
"39","24","ROI1"
"40","24","ROI1"
"41","24","ROI1"
"42","24","ROI1"
"43","24","ROI1"
"44","24","ROI1"
"45","24","ROI1"
"46","24","ROI1"
"47","24","ROI1"
"48","24","ROI1"
"49","24","ROI1"
"50","24","ROI1"
"51","24","ROI1"
"52","24","ROI1"
"53","24","ROI1"
"54","24","ROI1"
"55","24","ROI1"
"56","24","ROI1"
"57","24","ROI1"
"58","24","ROI1"
"17","25","ROI1"
"18","25","ROI1"
"19","25","ROI1"
"20","25","ROI1"
"21","25","ROI1"
"22","25","ROI1"
"23","25","ROI1"
"24","25","ROI1"
"25","25","ROI1"
"26","25","ROI1"
"27","25","ROI1"
"28","25","ROI1"
"29","25","ROI1"
"30","25","ROI1"
"31","25","ROI1"
"32","25","ROI1"
"33","25","ROI1"
"34","25","ROI1"
"35","25","ROI1"
"36","25","ROI1"
"37","25","ROI1"
"38","25","ROI1"
"39","25","ROI1"
"40","25","ROI1"
"41","25","ROI1"
"42","25","ROI1"
"43","25","ROI1"
"44","25","ROI1"
"45","25","ROI1"
"46","25","ROI1"
"47","25","ROI1"
"48","25","ROI1"
"49","25","ROI1"
"50","25","ROI1"
"51","25","ROI1"
"52","25","ROI1"
"53","25","ROI1"
"54","25","ROI1"
"56","25","ROI1"
"57","25","ROI1"
"58","25","ROI1"
"16","26","ROI1"
"17","26","ROI1"
"18","26","ROI1"
"19","26","ROI1"
"20","26","ROI1"
"21","26","ROI1"
"22","26","ROI1"
"23","26","ROI1"
"24","26","ROI1"
"25","26","ROI1"
"26","26","ROI1"
"27","26","ROI1"
"28","26","ROI1"
"29","26","ROI1"
"30","26","ROI1"
"31","26","ROI1"
"32","26","ROI1"
"33","26","ROI1"
"34","26","ROI1"
"35","26","ROI1"
"36","26","ROI1"
"37","26","ROI1"
"38","26","ROI1"
"39","26","ROI1"
"40","26","ROI1"
"41","26","ROI1"
"42","26","ROI1"
"43","26","ROI1"
"44","26","ROI1"
"45","26","ROI1"
"46","26","ROI1"
"47","26","ROI1"
"48","26","ROI1"
"49","26","ROI1"
"50","26","ROI1"
"51","26","ROI1"
"52","26","ROI1"
"53","26","ROI1"
"54","26","ROI1"
"55","26","ROI1"
"56","26","ROI1"
"57","26","ROI1"
"58","26","ROI1"
"16","27","ROI1"
"17","27","ROI1"
"18","27","ROI1"
"19","27","ROI1"
"20","27","ROI1"
"21","27","ROI1"
"22","27","ROI1"
"23","27","ROI1"
"24","27","ROI1"
"25","27","ROI1"
"26","27","ROI1"
"27","27","ROI1"
"28","27","ROI1"
"29","27","ROI1"
"30","27","ROI1"
"31","27","ROI1"
"32","27","ROI1"
"33","27","ROI1"
"34","27","ROI1"
"35","27","ROI1"
"36","27","ROI1"
"37","27","ROI1"
"38","27","ROI1"
"39","27","ROI1"
"40","27","ROI1"
"41","27","ROI1"
"42","27","ROI1"
"43","27","ROI1"
"44","27","ROI1"
"45","27","ROI1"
"46","27","ROI1"
"47","27","ROI1"
"48","27","ROI1"
"49","27","ROI1"
"50","27","ROI1"
"51","27","ROI1"
"52","27","ROI1"
"53","27","ROI1"
"54","27","ROI1"
"55","27","ROI1"
"56","27","ROI1"
"57","27","ROI1"
"58","27","ROI1"
"15","28","ROI1"
"16","28","ROI1"
"17","28","ROI1"
"18","28","ROI1"
"19","28","ROI1"
"20","28","ROI1"
"21","28","ROI1"
"22","28","ROI1"
"23","28","ROI1"
"24","28","ROI1"
"25","28","ROI1"
"26","28","ROI1"
"27","28","ROI1"
"28","28","ROI1"
"29","28","ROI1"
"30","28","ROI1"
"31","28","ROI1"
"32","28","ROI1"
"33","28","ROI1"
"34","28","ROI1"
"35","28","ROI1"
"36","28","ROI1"
"37","28","ROI1"
"38","28","ROI1"
"39","28","ROI1"
"40","28","ROI1"
"41","28","ROI1"
"42","28","ROI1"
"43","28","ROI1"
"44","28","ROI1"
"45","28","ROI1"
"46","28","ROI1"
"47","28","ROI1"
"48","28","ROI1"
"49","28","ROI1"
"50","28","ROI1"
"51","28","ROI1"
"52","28","ROI1"
"53","28","ROI1"
"55","28","ROI1"
"56","28","ROI1"
"57","28","ROI1"
"15","29","ROI1"
"16","29","ROI1"
"17","29","ROI1"
"18","29","ROI1"
"19","29","ROI1"
"20","29","ROI1"
"21","29","ROI1"
"22","29","ROI1"
"23","29","ROI1"
"24","29","ROI1"
"25","29","ROI1"
"26","29","ROI1"
"27","29","ROI1"
"28","29","ROI1"
"29","29","ROI1"
"30","29","ROI1"
"31","29","ROI1"
"32","29","ROI1"
"33","29","ROI1"
"34","29","ROI1"
"35","29","ROI1"
"36","29","ROI1"
"37","29","ROI1"
"38","29","ROI1"
"39","29","ROI1"
"40","29","ROI1"
"41","29","ROI1"
"42","29","ROI1"
"43","29","ROI1"
"44","29","ROI1"
"45","29","ROI1"
"46","29","ROI1"
"47","29","ROI1"
"48","29","ROI1"
"49","29","ROI1"
"50","29","ROI1"
"51","29","ROI1"
"52","29","ROI1"
"53","29","ROI1"
"54","29","ROI1"
"55","29","ROI1"
"56","29","ROI1"
"57","29","ROI1"
"15","30","ROI1"
"16","30","ROI1"
"17","30","ROI1"
"18","30","ROI1"
"19","30","ROI1"
"20","30","ROI1"
"21","30","ROI1"
"22","30","ROI1"
"23","30","ROI1"
"24","30","ROI1"
"25","30","ROI1"
"26","30","ROI1"
"27","30","ROI1"
"28","30","ROI1"
"29","30","ROI1"
"30","30","ROI1"
"31","30","ROI1"
"32","30","ROI1"
"33","30","ROI1"
"34","30","ROI1"
"35","30","ROI1"
"36","30","ROI1"
"37","30","ROI1"
"38","30","ROI1"
"39","30","ROI1"
"40","30","ROI1"
"41","30","ROI1"
"42","30","ROI1"
"43","30","ROI1"
"44","30","ROI1"
"45","30","ROI1"
"46","30","ROI1"
"47","30","ROI1"
"48","30","ROI1"
"49","30","ROI1"
"50","30","ROI1"
"51","30","ROI1"
"53","30","ROI1"
"54","30","ROI1"
"55","30","ROI1"
"56","30","ROI1"
"15","31","ROI1"
"16","31","ROI1"
"17","31","ROI1"
"18","31","ROI1"
"19","31","ROI1"
"20","31","ROI1"
"21","31","ROI1"
"22","31","ROI1"
"23","31","ROI1"
"24","31","ROI1"
"25","31","ROI1"
"26","31","ROI1"
"27","31","ROI1"
"28","31","ROI1"
"29","31","ROI1"
"30","31","ROI1"
"31","31","ROI1"
"32","31","ROI1"
"33","31","ROI1"
"34","31","ROI1"
"35","31","ROI1"
"36","31","ROI1"
"37","31","ROI1"
"38","31","ROI1"
"39","31","ROI1"
"40","31","ROI1"
"41","31","ROI1"
"42","31","ROI1"
"43","31","ROI1"
"44","31","ROI1"
"45","31","ROI1"
"46","31","ROI1"
"47","31","ROI1"
"48","31","ROI1"
"50","31","ROI1"
"51","31","ROI1"
"52","31","ROI1"
"53","31","ROI1"
"54","31","ROI1"
"55","31","ROI1"
"14","32","ROI1"
"15","32","ROI1"
"16","32","ROI1"
"17","32","ROI1"
"18","32","ROI1"
"19","32","ROI1"
"20","32","ROI1"
"21","32","ROI1"
"22","32","ROI1"
"23","32","ROI1"
"24","32","ROI1"
"25","32","ROI1"
"26","32","ROI1"
"27","32","ROI1"
"28","32","ROI1"
"29","32","ROI1"
"30","32","ROI1"
"31","32","ROI1"
"32","32","ROI1"
"33","32","ROI1"
"34","32","ROI1"
"35","32","ROI1"
"36","32","ROI1"
"37","32","ROI1"
"38","32","ROI1"
"39","32","ROI1"
"40","32","ROI1"
"41","32","ROI1"
"42","32","ROI1"
"43","32","ROI1"
"44","32","ROI1"
"45","32","ROI1"
"46","32","ROI1"
"47","32","ROI1"
"48","32","ROI1"
"49","32","ROI1"
"50","32","ROI1"
"51","32","ROI1"
"52","32","ROI1"
"53","32","ROI1"
"54","32","ROI1"
"14","33","ROI1"
"15","33","ROI1"
"16","33","ROI1"
"17","33","ROI1"
"18","33","ROI1"
"19","33","ROI1"
"20","33","ROI1"
"21","33","ROI1"
"22","33","ROI1"
"23","33","ROI1"
"24","33","ROI1"
"25","33","ROI1"
"26","33","ROI1"
"27","33","ROI1"
"28","33","ROI1"
"29","33","ROI1"
"30","33","ROI1"
"31","33","ROI1"
"32","33","ROI1"
"33","33","ROI1"
"34","33","ROI1"
"35","33","ROI1"
"36","33","ROI1"
"37","33","ROI1"
"38","33","ROI1"
"39","33","ROI1"
"40","33","ROI1"
"41","33","ROI1"
"42","33","ROI1"
"43","33","ROI1"
